candidate,votes,election_day,absentee
Vote for NOT MORE THAN  1,,,
Mary Popovich (DEM) .  .  .  .  .  .  .  .,21,21,0
Justin Walsh (REP)  .  .  .  .  .  .  .  .,40,40,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,61,61,0
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
0203 ALLEGHENY TWP - NO 1,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"2,122",,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,314","1,277",37
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,279,269,10
Republican (REP) .  .  .  .  .  .  .  .  .,529,518,11
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,2,2,0
Total .  .  .  .  .  .  .  .  .  .,810,789,21
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,498,482,16
Lou Barletta (REP)  .  .  .  .  .  .  .  .,782,761,21
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,5,5,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,12,12,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,"1,298","1,261",37
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,549,529,20
Scott R Wagner (REP).  .  .  .  .  .  .  .,745,728,17
Paul Glover (GRN).  .  .  .  .  .  .  .  .,7,7,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,7,7,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,"1,308","1,271",37
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,457,441,16
Guy Reschenthaler (REP).  .  .  .  .  .  .,848,827,21
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,"1,305","1,268",37
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 54TH D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Jon McCabe (DEM) .  .  .  .  .  .  .  .  .,465,450,15
Bob Brooks (REP) .  .  .  .  .  .  .  .  .,833,811,22
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,"1,298","1,261",37
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
0206 ALLEGHENY TWP - NO 2,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,551,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,349,333,16
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,60,51,9
Republican (REP) .  .  .  .  .  .  .  .  .,160,155,5
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,2,2,0
Total .  .  .  .  .  .  .  .  .  .,222,208,14
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,120,111,9
Lou Barletta (REP)  .  .  .  .  .  .  .  .,222,215,7
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,2,2,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,4,4,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,348,332,16
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,120,111,9
Scott R Wagner (REP).  .  .  .  .  .  .  .,223,216,7
Paul Glover (GRN).  .  .  .  .  .  .  .  .,0,0,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,4,4,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0
Total .  .  .  .  .  .  .  .  .  .,349,333,16
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,109,100,9
Guy Reschenthaler (REP).  .  .  .  .  .  .,239,232,7
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,348,332,16
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 54TH D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Jon McCabe (DEM) .  .  .  .  .  .  .  .  .,114,105,9
Bob Brooks (REP) .  .  .  .  .  .  .  .  .,231,224,7
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0
Total .  .  .  .  .  .  .  .  .  .,347,331,16
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
0209 ALLEGHENY TWP - NO 3,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,515",,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,867,850,17
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,204,196,8
Republican (REP) .  .  .  .  .  .  .  .  .,278,274,4
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,482,470,12
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,410,400,10
Lou Barletta (REP)  .  .  .  .  .  .  .  .,440,434,6
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,4,3,1
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,3,3,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,857,840,17
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,432,422,10
Scott R Wagner (REP).  .  .  .  .  .  .  .,425,419,6
Paul Glover (GRN).  .  .  .  .  .  .  .  .,2,2,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,4,3,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0
Total .  .  .  .  .  .  .  .  .  .,865,848,17
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,378,368,10
Guy Reschenthaler (REP).  .  .  .  .  .  .,484,477,7
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,863,846,17
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 54TH D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Jon McCabe (DEM) .  .  .  .  .  .  .  .  .,377,367,10
Bob Brooks (REP) .  .  .  .  .  .  .  .  .,482,475,7
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0
Total .  .  .  .  .  .  .  .  .  .,861,844,17
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
0212 ALLEGHENY TWP - NO 4,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,747,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,498,486,12
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,93,93,0
Republican (REP) .  .  .  .  .  .  .  .  .,205,197,8
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,299,291,8
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,194,192,2
Lou Barletta (REP)  .  .  .  .  .  .  .  .,294,284,10
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,1,1,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,6,6,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,495,483,12
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,211,208,3
Scott R Wagner (REP).  .  .  .  .  .  .  .,273,264,9
Paul Glover (GRN).  .  .  .  .  .  .  .  .,2,2,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,9,9,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,495,483,12
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,170,168,2
Guy Reschenthaler (REP).  .  .  .  .  .  .,322,312,10
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,492,480,12
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 54TH D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Jon McCabe (DEM) .  .  .  .  .  .  .  .  .,171,170,1
Bob Brooks (REP) .  .  .  .  .  .  .  .  .,322,311,11
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,493,481,12
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
0215 ALLEGHENY TWP - NO 5,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,526,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,326,311,15
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,86,78,8
Republican (REP) .  .  .  .  .  .  .  .  .,117,111,6
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,204,190,14
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,154,146,8
Lou Barletta (REP)  .  .  .  .  .  .  .  .,169,162,7
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,0,0,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,3,3,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,326,311,15
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,158,149,9
Scott R Wagner (REP).  .  .  .  .  .  .  .,164,158,6
Paul Glover (GRN).  .  .  .  .  .  .  .  .,0,0,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,4,4,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,326,311,15
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,139,130,9
Guy Reschenthaler (REP).  .  .  .  .  .  .,185,179,6
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,324,309,15
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 54TH D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Jon McCabe (DEM) .  .  .  .  .  .  .  .  .,148,140,8
Bob Brooks (REP) .  .  .  .  .  .  .  .  .,177,170,7
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,325,310,15
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
0311 ARNOLD - 1-1,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,361,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,128,126,2
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,73,72,1
Republican (REP) .  .  .  .  .  .  .  .  .,24,24,0
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,97,96,1
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,91,89,2
Lou Barletta (REP)  .  .  .  .  .  .  .  .,31,31,0
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,2,2,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,0,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,124,122,2
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,96,94,2
Scott R Wagner (REP).  .  .  .  .  .  .  .,30,30,0
Paul Glover (GRN).  .  .  .  .  .  .  .  .,0,0,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,0,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,126,124,2
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,90,89,1
Guy Reschenthaler (REP).  .  .  .  .  .  .,35,34,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,125,123,2
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 33RD D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Frank Dermody (DEM) .  .  .  .  .  .  .  .,92,91,1
Joshua R Nulph (REP).  .  .  .  .  .  .  .,34,33,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,126,124,2
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
0312 ARNOLD - 1-2,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,339,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,127,127,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,85,85,0
Republican (REP) .  .  .  .  .  .  .  .  .,16,16,0
Green Party (GRN).  .  .  .  .  .  .  .  .,2,2,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,103,103,0
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,104,104,0
Lou Barletta (REP)  .  .  .  .  .  .  .  .,20,20,0
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,0,0,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,3,3,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,127,127,0
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,103,103,0
Scott R Wagner (REP).  .  .  .  .  .  .  .,21,21,0
Paul Glover (GRN).  .  .  .  .  .  .  .  .,0,0,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,3,3,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,127,127,0
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,101,101,0
Guy Reschenthaler (REP).  .  .  .  .  .  .,24,24,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,125,125,0
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 33RD D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Frank Dermody (DEM) .  .  .  .  .  .  .  .,101,101,0
Joshua R Nulph (REP).  .  .  .  .  .  .  .,25,25,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,126,126,0
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
0321 ARNOLD - 2-1,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,605,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,306,295,11
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,121,114,7
Republican (REP) .  .  .  .  .  .  .  .  .,70,69,1
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,2,2,0
Total .  .  .  .  .  .  .  .  .  .,193,185,8
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,185,176,9
Lou Barletta (REP)  .  .  .  .  .  .  .  .,110,108,2
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,1,1,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,5,5,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,302,291,11
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,189,180,9
Scott R Wagner (REP).  .  .  .  .  .  .  .,109,107,2
Paul Glover (GRN).  .  .  .  .  .  .  .  .,0,0,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,4,4,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0
Total .  .  .  .  .  .  .  .  .  .,304,293,11
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,177,169,8
Guy Reschenthaler (REP).  .  .  .  .  .  .,119,117,2
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,297,287,10
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 33RD D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Frank Dermody (DEM) .  .  .  .  .  .  .  .,184,176,8
Joshua R Nulph (REP).  .  .  .  .  .  .  .,118,115,3
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,303,292,11
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
0322 ARNOLD - 2-2,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,755,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,361,350,11
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,146,135,11
Republican (REP) .  .  .  .  .  .  .  .  .,72,72,0
Green Party (GRN).  .  .  .  .  .  .  .  .,1,1,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,2,2,0
Total .  .  .  .  .  .  .  .  .  .,221,210,11
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,237,226,11
Lou Barletta (REP)  .  .  .  .  .  .  .  .,110,110,0
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,4,4,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,6,6,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,357,346,11
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,237,226,11
Scott R Wagner (REP).  .  .  .  .  .  .  .,112,112,0
Paul Glover (GRN).  .  .  .  .  .  .  .  .,5,5,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,4,4,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,359,348,11
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,219,208,11
Guy Reschenthaler (REP).  .  .  .  .  .  .,137,137,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,356,345,11
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 33RD D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Frank Dermody (DEM) .  .  .  .  .  .  .  .,233,222,11
Joshua R Nulph (REP).  .  .  .  .  .  .  .,125,125,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,358,347,11
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
0323 ARNOLD - 2-3,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,814,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,357,343,14
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,140,133,7
Republican (REP) .  .  .  .  .  .  .  .  .,74,71,3
Green Party (GRN).  .  .  .  .  .  .  .  .,1,1,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,215,205,10
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,229,219,10
Lou Barletta (REP)  .  .  .  .  .  .  .  .,111,107,4
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,3,3,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,6,6,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,349,335,14
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,240,230,10
Scott R Wagner (REP).  .  .  .  .  .  .  .,109,106,3
Paul Glover (GRN).  .  .  .  .  .  .  .  .,2,2,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,3,2,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,354,340,14
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,222,213,9
Guy Reschenthaler (REP).  .  .  .  .  .  .,132,127,5
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
