Name,Precinct,Address,Sample Ballots
Patton North 2,65,"Good Shepherd Catholic Church,867 Gray’s Woods Blvd.Map",
Patton South 1,66,"Park Forest Village United Methodist Church,1833 Park Forest Ave.,State CollegeMap",
Patton South 2,67,"Oakwood Presbyterian Church,1865 Waddle Rd.Map",
Patton South 3,68,"Park Forest Baptist Church,3030 Carnegie Drive,State College (One block behind Lowe’s)Map",
Penn,69,"St. James United Methodist Church,124 B Aly.,Coburn (Front Entrance / Ramp)Map",
Philipsburg 1st Ward,10,"Sts. Peter and Paul Catholic Church,400 S. Fourth St. (Parish Hall)Map",
Philipsburg 2nd Ward,11,Hope Fire Company (Social Room)500 North Sixth StreetMap,
Philipsburg 3rd Ward,12,American Martial Arts Academy505 Alder StMap,
Port Matilda,13,"Port Matilda Fire Hall,101 East Plank Road (Use Kitchen Entrance)Map",
Potter North,70,"Centre Hall Lions Club,153 E. Church St.,Centre Hall (Off Route 192 East)Map",
Potter South,71,"Potter Township Supervisors Building,124 Short Road,Spring Mills (Off Old Fort Road)Map",
PSU,24,"Hetzel Union Building (HUB),Pollock Rd. (Alumni Hall)Map",
Rush East,74,"Election Building,3621 Casanova Road,MunsonMap",
Rush North,72,"Rush Twp. Supervisors Building,150 N. Richard St.,PhilipsburgMap",
Rush North Central,15,"Christian and Missionary Alliance Church,315 Hemlock St.Map",
Rush South,73,First Church of Christ1437 Tyrone PikePhilipsburgMap,
Rush West,75,"First Church of Christ,1437 Tyrone Pike,Philipsburg (Located Along SR-350)Map",
Snow Shoe,14,Mt. Top Area Elementary School100 School DriveMap,
Snow Shoe East,76,"Snow Shoe Township Building,268 Oldside Rd.,ClarenceMap",
Snow Shoe West,77,"New Community Center,1351 W. Sycamore Rd.,Moshannon (Off SR-144)Map",
Spring East,86,"First Baptist Church,539 Jacksonville Rd.,Bellefonte (Fellowship Hall)Map",
Spring North,78,"Spring Township Building,1309 Blanchard St. (Irish Hollow Rd. and Blanchard St.)Map",
Spring South,79,Pleasant Gap Elementary School230 South Main StreetPleasant GapMap,
Spring Southwest,87,Fire Training Center391 North Harrison RoadPleasant GapMap,
Spring West,80,"Election House,198 Lower Coleville RoadMap",
State College East 3,26,"Friends Meetinghouse,611 E. Prospect Avenue (Social Room Main Entrance)Map",
State College East Central 2,29,State College Borough Building243 S. Allen StreetMap,
State College East Central 3,30,"Friends Meetinghouse,611 E. Prospect Avenue (Social Room Main Entrance)Map",
State College North,16,"Church of Christ,405 Hillcrest Ave.,Martin Terrace (Basement Social Room) *NO POLITICAL SIGNS ON PROPERTY*Map",
State College Northeast,17,"Comfort Suites,132 Village Dr.Map",
State College Northwest,18,"HUB – Alumni HallPollock RoadUniversity Park, PA 16802Map",
State College South 1,19,"Knights of Columbus,850 Stratford Dr.Map",
State College South 2,20,State College Assembly of God2201 University DriveMap,
State College South Central 1,22,"Knights of Columbus,850 Stratford Dr.Map",
State College South Central 2,23,"Grace Fellowship Church,1107 William St. (Sanctuary)Map",
State College Southeast,21,"Grace Fellowship Church,1107 William St. (Sanctuary)Map",
State College West 1,31,"Holy Trinity Orthodox Church,119 S. Sparks StreetMap",
State College West 2,32,State College Area High School650 Westerly ParkwayMap,
State College West Central 2,34,"CBICC,131 S. Fraser St., Suite 1Map",
Taylor,81,"Marrara’s Mountain Lodge,2797 S. Mountain Rd,Port MatildaMap",
Union,82,"Unionville/Union Twp. Community Building,221 Allegheny St.,Unionville (Off SR-504)Map",
Unionville,35,"Unionville Borough Building,221 Allegheny St. (Off SR-504)Map",
Walker East,83,"Walker Township Fire Hall,125 Firehouse Lane,Hublersburg (Off Hublersburg Road)Map",
Walker West,84,"Municipal Building,816 Nittany Valley Dr.,Bellefonte (Just West of Mingoville)Map",
Worth,85,"Sportsmen Association Building,8413 S. Eagle Valley Rd.,Port Matilda (On SR-220)Map",
,,,
