candidate,votes,election_day,absentee,provisional
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
"DANIEL B SMITH, JR (DEM)  .  .  .  .  .  .","1,105","1,057",47,1
DARYL METCALFE (REP).  .  .  .  .  .  .  .,"1,319","1,244",75,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0002-01,,,,
,,,,
0002 ADAMS TOWNSHIP 2,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"3,140",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,956","1,777",173,6
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,330,292,37,1
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,759,693,65,1
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,1,1,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",702,631,70,1
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,"1,212","1,106",101,5
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,5,5,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",21,20,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,756,686,69,1
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,"1,158","1,052",101,5
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,7,7,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,24,22,2,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,3,3,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,646,581,64,1
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,"1,281","1,171",105,5
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,21,18,3,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
"DANIEL B SMITH, JR (DEM)  .  .  .  .  .  .",729,658,70,1
DARYL METCALFE (REP).  .  .  .  .  .  .  .,"1,207","1,105",98,4
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,5,5,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0003-01,,,,
,,,,
0003 ADAMS TOWNSHIP 3,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"3,528",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"2,410","2,258",152,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,400,384,16,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,901,829,72,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,0,0,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,3,2,1,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",900,853,47,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,"1,458","1,355",103,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,7,6,1,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",18,17,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,962,912,50,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,"1,397","1,300",97,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,6,6,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,27,22,5,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,796,755,41,0
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,"1,582","1,473",109,0
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,18,17,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
"DANIEL B SMITH, JR (DEM)  .  .  .  .  .  .",898,854,44,0
DARYL METCALFE (REP).  .  .  .  .  .  .  .,"1,481","1,377",104,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,9,8,1,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0004-01,,,,
,,,,
0004 ALLEGHENY TOWNSHIP,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,334,,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,199,192,6,1
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,28,28,0,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,101,95,6,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,1,1,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",55,54,1,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,139,133,5,1
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,2,2,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",1,1,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,59,58,1,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,132,126,5,1
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,5,5,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,0,0,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 15TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
SUSAN BOSER (DEM).  .  .  .  .  .  .  .  .,48,47,1,0
GLENN GT THOMPSON (REP).  .  .  .  .  .  .,147,142,5,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 64TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
JOHN KLUCK (DEM) .  .  .  .  .  .  .  .  .,48,48,0,0
R. LEE JAMES (REP)  .  .  .  .  .  .  .  .,145,139,6,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0005-01,,,,
,,,,
0005 BRADY TOWNSHIP,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,716,,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,418,403,14,1
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,63,58,5,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,170,168,2,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,2,2,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",149,141,7,1
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,255,249,6,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,8,7,1,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",3,3,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,152,142,9,1
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,250,245,5,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,7,7,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,7,7,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,141,133,7,1
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,271,264,7,0
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,5,5,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 8TH LE,GISLATI,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
LISA BOEVING-LEARNED (DEM).  .  .  .  .  .,127,121,6,0
TEDD NESBIT (REP).  .  .  .  .  .  .  .  .,288,280,8,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0006-01,,,,
,,,,
0006 BUFFALO TOWNSHIP 1,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,904",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,200","1,153",47,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,218,205,13,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,474,454,20,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,0,0,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,3,3,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",434,416,18,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,743,715,28,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,4,3,1,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",13,13,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,475,457,18,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,694,665,29,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,4,4,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,20,20,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 15TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
SUSAN BOSER (DEM).  .  .  .  .  .  .  .  .,385,368,17,0
GLENN GT THOMPSON (REP).  .  .  .  .  .  .,808,778,30,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 60TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
JEFF PYLE (REP)  .  .  .  .  .  .  .  .  .,924,894,30,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,26,24,2,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0007-01,,,,
,,,,
0007 BUFFALO TOWNSHIP 2,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,785",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,174","1,144",30,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,190,185,5,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,463,454,9,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,0,0,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",425,413,12,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,720,703,17,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,8,8,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",16,16,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,454,442,12,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,701,685,16,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,7,7,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,10,9,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 15TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
SUSAN BOSER (DEM).  .  .  .  .  .  .  .  .,373,361,12,0
GLENN GT THOMPSON (REP).  .  .  .  .  .  .,793,776,17,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 60TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
JEFF PYLE (REP)  .  .  .  .  .  .  .  .  .,924,902,22,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,29,28,1,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0008-01,,,,
,,,,
0008 BUFFALO TOWNSHIP 3,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,550",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,997,971,24,2
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,158,154,4,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,381,370,11,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,0,0,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,2,1,0,1
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",378,371,7,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,594,577,16,1
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,2,2,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",19,17,1,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,418,410,8,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,557,540,16,1
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,1,1,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,18,17,0,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 15TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
SUSAN BOSER (DEM).  .  .  .  .  .  .  .  .,318,309,8,1
GLENN GT THOMPSON (REP).  .  .  .  .  .  .,673,657,16,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 60TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
JEFF PYLE (REP)  .  .  .  .  .  .  .  .  .,809,788,20,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,23,21,2,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0009-01,,,,
,,,,
0009 BUTLER TOWNSHIP 1-1,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"2,177",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,440","1,390",50,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,215,206,9,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,455,448,7,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,1,1,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,11,11,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",635,603,32,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,752,734,18,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,9,9,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",30,30,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,3,3,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,673,640,33,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,728,711,17,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,13,13,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,21,21,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,580,552,28,0
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,827,805,22,0
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,25,25,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 11TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
BRIAN ELLIS (REP).  .  .  .  .  .  .  .  .,968,938,30,0
SAMUEL DOCTOR (IND) .  .  .  .  .  .  .  .,366,355,11,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0010-01,,,,
,,,,
0010 BUTLER TOWNSHIP 1-2,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,435",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,937,889,46,2
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,120,114,6,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,299,283,15,1
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,1,0,1,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,4,4,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",385,366,18,1
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,518,491,26,1
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,9,8,1,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",7,7,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,398,379,19,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,505,480,24,1
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,7,6,1,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,22,20,1,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,348,336,12,0
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,563,529,32,2
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,18,18,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 11TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
